A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
22 	,NA     	,11 	,11 	,4360.0    	,4       	,2+                	,5.0 FS 14                	,2408.1    	,3       	,M1        	,0.24      	,7               	,
22 	,NA     	,11 	,11 	,4710.0    	,4       	,(5+)              	,37 FS 14                 	,638.6     	,	,M1        	,1.0       	,4               	,
22 	,NA     	,11 	,11 	,4770      	,2       	,3+                	,5.9 PS 14                	,2818      	,	,M1        	,0.00017   	,4               	,
22 	,NA     	,11 	,11 	,5062.5    	,4       	,(2+)              	,14 FS LT                 	,3110.6    	,4       	,M1        	,0.052     	,>               	,
22 	,NA     	,11 	,11 	,5100.4    	,13      	,4+                	,38 FS 12                 	,4209.1    	,	,M1+E2     	,0.00086   	,<               	,
22 	,NA     	,11 	,11 	,5100.4    	,13      	,4+                	,38 FS 12                 	,1029.0    	,	,[M1]      	,0.20      	,7               	,
23 	,NA     	,11 	,12 	,440.2     	,4       	,5/2+              	,1.14 PS 7                	,440.5     	,6       	,M1+E2     	,0.225     	,14              	,
23 	,NA     	,11 	,12 	,2076.2    	,4       	,7/2+              	,27 FS 3                  	,1636.6    	,8       	,M1+E2     	,0.164     	,19              	,
23 	,NA     	,11 	,12 	,2703.8    	,5       	,9/2+              	,88 FS 7                  	,627.4     	,6       	,M1+E2     	,0.38      	,3               	,
23 	,NA     	,11 	,12 	,2982.0    	,5       	,3/2+              	,3.3 FS 4                 	,591       	,1       	,[M1]      	,0.10      	,4               	,
23 	,NA     	,11 	,12 	,2982.0    	,5       	,3/2+              	,3.3 FS 4                 	,2981.7    	,8       	,M1        	,0.147     	,18              	,
23 	,NA     	,11 	,12 	,2982.0    	,5       	,3/2+              	,3.3 FS 4                 	,2541.3    	,9       	,M1+E2     	,0.166     	,21              	,
23 	,NA     	,11 	,12 	,3914.6    	,4       	,5/2+              	,6.9 FS 14                	,3914      	,1       	,M1+E2     	,2,0.040     	,3
23 	,NA     	,11 	,12 	,3914.6    	,4       	,5/2+              	,6.9 FS 14                	,1838      	,1       	,M1        	,0.046     	,10              	,
23 	,NA     	,11 	,12 	,3914.6    	,4       	,5/2+              	,6.9 FS 14                	,932       	,1       	,[M1]      	,0.091     	,21              	,
23 	,NA     	,11 	,12 	,4429.63   	,16      	,1/2+              	,0.21 FS 2                	,4429.2    	,	,M1        	,1.10      	,12              	,
23 	,NA     	,11 	,12 	,4429.63   	,16      	,1/2+              	,0.21 FS 2                	,2038.6    	,	,[M1]      	,1.11      	,12              	,
23 	,NA     	,11 	,12 	,4775.2    	,5       	,7/2+              	,1.4 FS LT                	,4335      	,1       	,M1+E2     	,0.10      	,>               	,
23 	,NA     	,11 	,12 	,4775.2    	,5       	,7/2+              	,1.4 FS LT                	,2699      	,1       	,M1        	,0.20      	,>               	,
23 	,NA     	,11 	,12 	,5378.56   	,15      	,5/2+              	,143 AS 21                	,3302.1    	,	,M1+E2     	,14,0.95      	,
23 	,NA     	,11 	,12 	,5378.56   	,15      	,5/2+              	,143 AS 21                	,4937.8    	,	,M1+E2     	,0.72      	,11              	,
23 	,NA     	,11 	,12 	,5534.2    	,6       	,11/2+             	,10.4 FS 6                	,2830      	,1       	,M1+E2     	,0.07      	,4               	,
23 	,NA     	,11 	,12 	,5925.8    	,5       	,7/2+              	,13 FS 5                  	,2010      	,1       	,M1        	,0.014     	,6               	,
23 	,NA     	,11 	,12 	,6115.1    	,6       	,(11/2)+           	,35 FS 9                  	,3411      	,1       	,M1        	,0.012     	,4               	,
23 	,NA     	,11 	,12 	,6235.4    	,6       	,(13/2+)           	,16 FS 8                  	,701       	,1       	,(M1)      	,0.4       	,3               	,
24 	,NA     	,11 	,13 	,1846.012  	,5       	,2+                	,180 FS 35                	,1373.763  	,5       	,M1+E2     	,0.0114    	,17              	,
24 	,NA     	,11 	,13 	,1885.493  	,5       	,3+                	,26 FS 5                  	,1885.413  	,5       	,M1+E2     	,0.048     	,10              	,
24 	,NA     	,11 	,13 	,3681.83   	,3       	,0+                	,14 FS LT                 	,3209.40   	,3       	,M1        	,0.046     	,>               	,
24 	,NA     	,11 	,13 	,5967.37   	,13      	,0+                	,7 FS LT                  	,2376.8    	,	,M1        	,0.023     	,>               	,
24 	,NA     	,11 	,13 	,5967.37   	,13      	,0+                	,7 FS LT                  	,4619.1    	,	,M1        	,0.0044    	,>               	,
25 	,NA     	,11 	,14 	,2202.0    	,10      	,3/2+              	,25 FS 4                  	,2112.5    	,10      	,M1+E2     	,0.0003    	,3               	,
25 	,NA     	,11 	,14 	,2202.0    	,10      	,3/2+              	,25 FS 4                  	,1132.8    	,10      	,M1+E2     	,0.16      	,4               	,
26 	,NA     	,11 	,15 	,232.7     	,6       	,2+                	,0.9 NS +6-5              	,232       	,2       	,M1+E2     	,0.0010    	,+6-7            	,
26 	,NA     	,11 	,15 	,232.7     	,6       	,2+                	,0.9 NS +6-5              	,153       	,3       	,M1+E2     	,0.0030    	,+17-20          	,
26 	,NA     	,11 	,15 	,406.7     	,5       	,2+                	,0.18 NS +17-13           	,404       	,3       	,M1+E2     	,0.0015    	,+11-14          	,
26 	,NA     	,11 	,15 	,406.7     	,5       	,2+                	,0.18 NS +17-13           	,323       	,	,M1+E2     	,0.0004    	,+2-3            	,
22 	,MG     	,12 	,10 	,4402.0    	,3       	,2+                	,21 FS LT                 	,3154.7    	,3       	,(M1)      	,0.029     	,>               	,
22 	,MG     	,12 	,10 	,5035.4    	,5       	,2+                	,0.07 NS LT               	,3788.0    	,5       	,(M1)      	,5.1E-6    	,>               	,
22 	,MG     	,12 	,10 	,5711.4    	,7       	,2+                	,28 FS 10                 	,4463.5    	,10      	,M1+E2     	,0.007     	,3               	,
23 	,MG     	,12 	,11 	,450.70    	,15      	,5/2+              	,1.15 PS 8                	,450.70    	,15      	,M1+E2     	,0.209     	,15              	,
23 	,MG     	,12 	,11 	,2051.6    	,4       	,7/2+              	,65 FS 12                 	,1601.4    	,13      	,M1+E2     	,2,0.070     	,+21-16
24 	,MG     	,12 	,12 	,4238.24   	,3       	,2+                	,41 FS 4                  	,2869.50   	,6       	,M1+E2     	,9.E-6     	,8               	,
24 	,MG     	,12 	,12 	,5235.12   	,4       	,3+                	,61 FS 7                  	,996.83    	,10      	,M1+E2     	,0.00035   	,17              	,
24 	,MG     	,12 	,12 	,5235.12   	,4       	,3+                	,61 FS 7                  	,3866.19   	,8       	,M1+E2     	,2.1E-5    	,11              	,
25 	,MG     	,12 	,13 	,974.756   	,22      	,3/2+              	,10.1 PS 10               	,974.742   	,35      	,M1+E2     	,0.00113   	,12              	,
25 	,MG     	,12 	,13 	,974.756   	,22      	,3/2+              	,10.1 PS 10               	,389.710   	,35      	,M1+E2     	,0.0166    	,17              	,
25 	,MG     	,12 	,13 	,1611.768  	,11      	,7/2+              	,17 FS 3                  	,1611.712  	,11      	,M1+E2     	,0.30      	,6               	,
25 	,MG     	,12 	,13 	,1964.624  	,23      	,5/2+              	,0.70 PS 6                	,989.865   	,30      	,M1+E2     	,0.0093    	,9               	,
25 	,MG     	,12 	,13 	,1964.624  	,23      	,5/2+              	,0.70 PS 6                	,1964.501  	,45      	,M1+E2     	,0.00082   	,11              	,
25 	,MG     	,12 	,13 	,2737.8    	,3       	,7/2+              	,290 FS 30                	,2738.0    	,6       	,M1+E2     	,9.E-5     	,6               	,
25 	,MG     	,12 	,13 	,2737.8    	,3       	,7/2+              	,290 FS 30                	,773.1     	,7       	,M1+E2     	,0.0094    	,20              	,
25 	,MG     	,12 	,13 	,2801.46   	,3       	,3/2+              	,26 FS 3                  	,2216.267  	,50      	,M1+E2     	,0.028     	,4               	,
25 	,MG     	,12 	,13 	,2801.46   	,3       	,3/2+              	,26 FS 3                  	,2801.312  	,35      	,M1+E2     	,0.0055    	,8               	,
25 	,MG     	,12 	,13 	,3405.06   	,17      	,9/2+              	,7.7 FS 7                 	,1793.1    	,3       	,M1+E2     	,0.40      	,4               	,
25 	,MG     	,12 	,13 	,3907.9    	,4       	,5/2+              	,6 FS 2                   	,1170.6    	,9       	,[M1]      	,0.30      	,11              	,
25 	,MG     	,12 	,13 	,4059.6    	,3       	,9/2+              	,47 FS 5                  	,2450.5    	,10      	,M1+E2     	,0.0102    	,14              	,
25 	,MG     	,12 	,13 	,5251.63   	,22      	,11/2+             	,15 FS 2                  	,1192.4    	,6       	,M1+E2     	,0.19      	,3               	,
25 	,MG     	,12 	,13 	,5251.63   	,22      	,11/2+             	,15 FS 2                  	,1846.4    	,5       	,M1+E2     	,0.058     	,9               	,
26 	,MG     	,12 	,14 	,2938.33   	,4       	,2+                	,141 FS 8                 	,1129.61   	,4       	,M1+E2     	,0.096     	,6               	,
26 	,MG     	,12 	,14 	,3941.57   	,4       	,3+                	,0.83 PS 12               	,1003.25   	,4       	,M1+E2     	,0.0162    	,24              	,
26 	,MG     	,12 	,14 	,3941.57   	,4       	,3+                	,0.83 PS 12               	,2132.71   	,4       	,M1        	,0.00104   	,16              	,
26 	,MG     	,12 	,14 	,4350.09   	,4       	,3+                	,105 FS 28                	,2541.18   	,6       	,M1+E2     	,0.0066    	,18              	,
26 	,MG     	,12 	,14 	,4350.09   	,4       	,3+                	,105 FS 28                	,1411.72   	,4       	,M1+E2     	,0.033     	,9               	,
26 	,MG     	,12 	,14 	,4835.13   	,5       	,2+                	,28 FS 6                  	,1896.72   	,5       	,M1        	,0.096     	,21              	,
26 	,MG     	,12 	,14 	,5291.74   	,6       	,2+                	,10 FS LT                 	,1350.20   	,16      	,[M1]      	,0.026     	,>               	,
26 	,MG     	,12 	,14 	,5476.05   	,7       	,4+                	,21 FS 6                  	,1534.49   	,15      	,M1+E2     	,0.071     	,22              	,
26 	,MG     	,12 	,14 	,5476.05   	,7       	,4+                	,21 FS 6                  	,1157.23   	,6       	,M1+E2     	,0.34      	,10              	,
26 	,MG     	,12 	,14 	,5715.91   	,8       	,4+                	,53 FS 16                 	,1774.0    	,9       	,M1+E2     	,0.017     	,5               	,
26 	,MG     	,12 	,14 	,5715.91   	,8       	,4+                	,53 FS 16                 	,1365.54   	,20      	,M1+E2     	,0.036     	,10              	,
26 	,MG     	,12 	,14 	,6125.47   	,5       	,3+                	,14 FS 6                  	,1775.31   	,5       	,[M1]      	,0.20      	,9               	,
26 	,MG     	,12 	,14 	,6622.94   	,14      	,(4+)              	,19 FS 5                  	,1146.9    	,	,[M1]      	,0.063     	,18              	,
26 	,MG     	,12 	,14 	,6978.3    	,8       	,(5+)              	,14 FS 5                  	,2660.0    	,20      	,M1+E2     	,0.012     	,5               	,
26 	,MG     	,12 	,14 	,6978.3    	,8       	,(5+)              	,14 FS 5                  	,2076.8    	,	,M1+E2     	,0.010     	,7               	,
26 	,MG     	,12 	,14 	,6978.3    	,8       	,(5+)              	,14 FS 5                  	,1501.8    	,10      	,M1+E2     	,0.22      	,9               	,
26 	,MG     	,12 	,14 	,7396.0    	,10      	,(5+)              	,14 FS LE                 	,1680.0    	,10      	,(M1+E2)   	,0.16      	,>               	,
26 	,MG     	,12 	,14 	,9111.2    	,5       	,6+                	,11 FS LE                 	,1715      	,	,[M1]      	,0.032     	,>               	,
26 	,MG     	,12 	,14 	,9989      	,1       	,(6+)              	,7 FS LE                  	,3011      	,	,(M1+E2)   	,0.078     	,>               	,
26 	,MG     	,12 	,14 	,9989      	,1       	,(6+)              	,7 FS LE                  	,1517      	,	,(M1+E2)   	,0.15      	,>               	,
27 	,MG     	,12 	,15 	,984.88    	,5       	,3/2+              	,0.97 PS 24               	,984.88    	,8       	,M1+E2     	,0.023     	,6               	,
27 	,MG     	,12 	,15 	,3109.73   	,21      	,(7/2+)            	,71 FS 18                 	,1169.40   	,25      	,(M1+E2)   	,0.18      	,5               	,
28 	,MG     	,12 	,16 	,4554.6    	,5       	,2+                	,0.03 PS LT               	,3082.6    	,13      	,M1+E2     	,0.024     	,>               	,
28 	,MG     	,12 	,16 	,4878.6    	,13      	,2+                	,0.08 PS LT               	,3404.9    	,13      	,M1+E2     	,0.0046    	,>               	,
31 	,MG     	,12 	,19 	,50.1      	,2       	,(3/2+)            	,16 NS 3                  	,50.2      	,2       	,[M1]      	,5,0.0106    	,
25 	,AL     	,13 	,12 	,944.9     	,5       	,3/2+              	,4.3 PS 11                	,944.9     	,5       	,M1+E2     	,0.0021    	,7               	,
25 	,AL     	,13 	,12 	,944.9     	,5       	,3/2+              	,4.3 PS 11                	,493.3     	,7       	,M1+E2     	,0.026     	,7               	,
25 	,AL     	,13 	,12 	,1612.5    	,5       	,(7/2)+            	,12 FS 2                  	,1612.4    	,5       	,M1+E2     	,0.34      	,12              	,
25 	,AL     	,13 	,12 	,1789.5    	,5       	,5/2+              	,393 FS 36                	,1789.4    	,5       	,M1+E2     	,0.0011    	,3               	,
25 	,AL     	,13 	,12 	,1789.5    	,5       	,5/2+              	,393 FS 36                	,844.6     	,7       	,M1+E2     	,0.036     	,5               	,
25 	,AL     	,13 	,12 	,2485.3    	,9       	,1/2+              	,4 FS 2                   	,2033.4    	,10      	,M1        	,0.5       	,3               	,
25 	,AL     	,13 	,12 	,2673.3    	,6       	,3/2+              	,4 FS 3                   	,2673.1    	,6       	,M1+E2     	,0.048     	,18              	,
25 	,AL     	,13 	,12 	,2720.2    	,5       	,7/2+              	,201 FS 14                	,930.7     	,7       	,M1+E2     	,0.038     	,20              	,
25 	,AL     	,13 	,12 	,3424.2    	,8       	,(9/2)+            	,9.0 FS 14                	,1811.6    	,9       	,M1+E2     	,0.34      	,6               	,
26 	,AL     	,13 	,13 	,1057.739  	,12      	,1+                	,25 FS 5                  	,829.3     	,4       	,M1        	,1.5       	,3               	,
26 	,AL     	,13 	,13 	,1850.62   	,3       	,1+                	,32 FS 3                  	,1622.0    	,7       	,M1        	,0.160     	,15              	,
26 	,AL     	,13 	,13 	,2069.47   	,3       	,(2+)              	,14 FS 2                  	,1011.71   	,	,[M1]      	,1.14      	,17              	,
26 	,AL     	,13 	,13 	,2069.47   	,3       	,(2+)              	,14 FS 2                  	,310.43    	,	,[M1]      	,0.091     	,18              	,
26 	,AL     	,13 	,13 	,2069.47   	,3       	,(2+)              	,14 FS 2                  	,218.85    	,	,[M1]      	,0.060     	,17              	,
26 	,AL     	,13 	,13 	,2069.47   	,3       	,(2+)              	,14 FS 2                  	,1652.56   	,	,[M1]      	,0.075     	,11              	,
26 	,AL     	,13 	,13 	,2071.64   	,4       	,1+                	,367 FS 69                	,1842.8    	,7       	,M1        	,0.0086    	,17              	,
26 	,AL     	,13 	,13 	,2365.150  	,18      	,3+                	,0.8 PS 2                 	,295.678   	,	,[M1]      	,0.54      	,14              	,
26 	,AL     	,13 	,13 	,2545.367  	,17      	,3+                	,0.69 PS 17               	,475.892   	,	,[M1]      	,0.20      	,5               	,
26 	,AL     	,13 	,13 	,2545.367  	,17      	,3+                	,0.69 PS 17               	,2128.421  	,	,M1+E2     	,0.00026   	,12              	,
26 	,AL     	,13 	,13 	,2660.92   	,5       	,2+                	,3 PS 3                   	,591.44    	,	,[M1]      	,0.009     	,9               	,
26 	,AL     	,13 	,13 	,2740.03   	,3       	,1+                	,31 FS 3                  	,2511.59   	,	,M1        	,0.044     	,5               	,
26 	,AL     	,13 	,13 	,2913.40   	,5       	,2+                	,68 FS 4                  	,843.92    	,	,[M1]      	,0.365     	,23              	,
26 	,AL     	,13 	,13 	,3073.63   	,4       	,3+                	,194 FS 31                	,1004.14   	,	,[M1]      	,0.093     	,15              	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,1400.814  	,	,[M1]      	,0.34      	,7               	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,1309.233  	,	,[M1]      	,0.0098    	,22              	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,1088.224  	,	,[M1]      	,0.13      	,3               	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,2742.881  	,	,M1        	,0.16      	,6               	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,794.726   	,	,[M1]      	,0.028     	,9               	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,2102.058  	,	,M1        	,0.09      	,3               	,
26 	,AL     	,13 	,13 	,3159.889  	,13      	,2+                	,3.5 FS 7                 	,614.514   	,	,[M1]      	,0.39      	,8               	,
26 	,AL     	,13 	,13 	,3402.65   	,6       	,5+                	,67 FS 12                 	,3402.41   	,	,(M1+E2)   	,	,	,
26 	,AL     	,13 	,13 	,3596.34   	,4       	,3+                	,18 FS 3                  	,1526.82   	,	,[M1]      	,0.32      	,6               	,
26 	,AL     	,13 	,13 	,3680.68   	,6       	,3+                	,8.3 FS 14                	,1611.16   	,	,[M1]      	,0.59      	,10              	,
26 	,AL     	,13 	,13 	,3680.68   	,6       	,3+                	,8.3 FS 14                	,520.79    	,	,[M1]      	,0.049     	,11              	,
26 	,AL     	,13 	,13 	,3723.81   	,4       	,1+                	,4.2 FS 14                	,3495.25   	,	,M1        	,0.12      	,4               	,
26 	,AL     	,13 	,13 	,3750.90   	,4       	,2+                	,22 FS 6                  	,1681.37   	,	,[M1]      	,0.14      	,4               	,
26 	,AL     	,13 	,13 	,3750.90   	,4       	,2+                	,22 FS 6                  	,591.00    	,	,[M1]      	,0.76      	,22              	,
26 	,AL     	,13 	,13 	,3753.63   	,13      	,0+                	,5 FS 2                   	,2695.74   	,	,[M1]      	,0.19      	,8               	,
26 	,AL     	,13 	,13 	,3753.63   	,13      	,0+                	,5 FS 2                   	,1902.93   	,	,[M1]      	,0.017     	,7               	,
26 	,AL     	,13 	,13 	,3753.63   	,13      	,0+                	,5 FS 2                   	,1681.93   	,	,[M1]      	,0.09      	,4               	,
26 	,AL     	,13 	,13 	,3753.63   	,13      	,0+                	,5 FS 2                   	,1013.58   	,	,[M1]      	,0.08      	,4               	,
26 	,AL     	,13 	,13 	,3962.83   	,5       	,(3+)              	,37 FS 5                  	,1893.29   	,	,[M1]      	,0.062     	,9               	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,1826.70   	,	,[M1]      	,0.07      	,3               	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,1646.50   	,	,[M1]      	,0.021     	,9               	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,1278.49   	,	,[M1]      	,0.008     	,4               	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,3774.77   	,	,[M1]      	,0.048     	,20              	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,595.57    	,	,[M1]      	,0.18      	,8               	,
26 	,AL     	,13 	,13 	,4191.92   	,6       	,(3+)              	,5 FS 2                   	,2122.97   	,	,[M1]      	,0.11      	,5               	,
26 	,AL     	,13 	,13 	,4349.34   	,7       	,3+                	,9 FS 3                   	,2279.76   	,	,[M1]      	,0.19      	,7               	,
26 	,AL     	,13 	,13 	,4547.92   	,6       	,2+                	,11 FS LT                 	,867.22    	,	,[M1]      	,0.0070    	,>               	,
26 	,AL     	,13 	,13 	,4547.92   	,6       	,2+                	,11 FS LT                 	,2002.47   	,	,[M1]      	,0.013     	,>               	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,1525.49   	,	,[M1]      	,0.012     	,6               	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,2839.97   	,	,[M1]      	,0.09      	,4               	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,924.23    	,	,[M1]      	,0.17      	,7               	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,2053.72   	,	,[M1]      	,0.026     	,11              	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,918.47    	,	,[M1]      	,0.045     	,19              	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,1938.17   	,	,[M1]      	,0.040     	,16              	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,848.26    	,	,[M1]      	,0.13      	,6               	,
26 	,AL     	,13 	,13 	,4599.17   	,5       	,(3+)              	,5 FS 2                   	,1685.71   	,	,[M1]      	,0.031     	,13              	,
26 	,AL     	,13 	,13 	,4705.37   	,4       	,(4+)              	,3 FS LT                  	,1024.67   	,	,[M1]      	,0.035     	,>               	,
26 	,AL     	,13 	,13 	,4705.37   	,4       	,(4+)              	,3 FS LT                  	,2340.11   	,	,[M1]      	,0.15      	,>               	,
26 	,AL     	,13 	,13 	,4705.37   	,4       	,(4+)              	,3 FS LT                  	,2159.91   	,	,[M1]      	,0.12      	,>               	,
26 	,AL     	,13 	,13 	,4705.37   	,4       	,(4+)              	,3 FS LT                  	,1631.68   	,	,[M1]      	,0.011     	,>               	,
26 	,AL     	,13 	,13 	,4773.35   	,6       	,4+                	,82 FS 12                 	,581.42    	,	,[M1]      	,0.056     	,10              	,
26 	,AL     	,13 	,13 	,4952.30   	,4       	,(3+)              	,10 FS 3                  	,2882.66   	,	,[M1]      	,0.023     	,7               	,
26 	,AL     	,13 	,13 	,4952.30   	,4       	,(3+)              	,10 FS 3                  	,1792.34   	,	,[M1]      	,0.22      	,7               	,
26 	,AL     	,13 	,13 	,4952.30   	,4       	,(3+)              	,10 FS 3                  	,760.37    	,	,[M1]      	,0.066     	,23              	,
26 	,AL     	,13 	,13 	,5010.24   	,7       	,(1+)              	,6 FS LT                  	,4781.46   	,	,[M1]      	,0.033     	,>               	,
26 	,AL     	,13 	,13 	,5010.24   	,7       	,(1+)              	,6 FS LT                  	,1256.58   	,	,[M1]      	,0.043     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,1535.54   	,	,[M1]      	,0.083     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,1169.07   	,	,[M1]      	,0.092     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,3062.88   	,	,[M1]      	,0.041     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,926.05    	,	,[M1]      	,0.048     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,2766.62   	,	,[M1]      	,0.15      	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,782.58    	,	,[M1]      	,0.049     	,>               	,
26 	,AL     	,13 	,13 	,5131.93   	,5       	,(4+)              	,3 FS LT                  	,2058.21   	,	,[M1]      	,0.16      	,>               	,
26 	,AL     	,13 	,13 	,5141.68   	,6       	,(2+)              	,4 FS LT                  	,1545.29   	,	,[M1]      	,0.020     	,>               	,
26 	,AL     	,13 	,13 	,5141.68   	,6       	,(2+)              	,4 FS LT                  	,1178.82   	,	,[M1]      	,0.043     	,>               	,
26 	,AL     	,13 	,13 	,5195.11   	,12      	,(0+)              	,24 FS LT                 	,4137.02   	,	,[M1]      	,0.0044    	,>               	,
26 	,AL     	,13 	,13 	,5195.11   	,12      	,(0+)              	,24 FS LT                 	,3344.26   	,	,[M1]      	,0.0022    	,>               	,
26 	,AL     	,13 	,13 	,5195.11   	,12      	,(0+)              	,24 FS LT                 	,3123.27   	,	,[M1]      	,0.013     	,>               	,
26 	,AL     	,13 	,13 	,5195.11   	,12      	,(0+)              	,24 FS LT                 	,1471.25   	,	,[M1]      	,0.043     	,>               	,
26 	,AL     	,13 	,13 	,5245.28   	,4       	,(4+)              	,12 FS 3                  	,1564.55   	,	,[M1]      	,0.0021    	,6               	,
26 	,AL     	,13 	,13 	,5245.28   	,4       	,(4+)              	,12 FS 3                  	,1053.34   	,	,[M1]      	,0.72      	,19              	,
26 	,AL     	,13 	,13 	,5245.28   	,4       	,(4+)              	,12 FS 3                  	,539.90    	,	,[M1]      	,0.32      	,9               	,
26 	,AL     	,13 	,13 	,5494.51   	,5       	,(2+)              	,5 FS LT                  	,2334.51   	,	,[M1]      	,0.015     	,>               	,
26 	,AL     	,13 	,13 	,5494.51   	,5       	,(2+)              	,5 FS LT                  	,946.57    	,	,[M1]      	,0.11      	,>               	,
26 	,AL     	,13 	,13 	,5494.51   	,5       	,(2+)              	,5 FS LT                  	,3424.80   	,	,[M1]      	,0.099     	,>               	,
26 	,AL     	,13 	,13 	,5513.48   	,4       	,(4+)              	,35 FS 4                  	,1321.52   	,	,[M1]      	,0.101     	,12              	,
26 	,AL     	,13 	,13 	,5513.48   	,4       	,(4+)              	,35 FS 4                  	,808.10    	,	,[M1]      	,0.0072    	,11              	,
26 	,AL     	,13 	,13 	,5513.48   	,4       	,(4+)              	,35 FS 4                  	,381.55    	,	,[M1]      	,0.029     	,7               	,
26 	,AL     	,13 	,13 	,5544.56   	,7       	,(2+)              	,15 FS 13                 	,1581.68   	,	,[M1]      	,0.007     	,6               	,
26 	,AL     	,13 	,13 	,5544.56   	,7       	,(2+)              	,15 FS 13                 	,1948.14   	,	,[M1]      	,0.010     	,9               	,
26 	,AL     	,13 	,13 	,5544.56   	,7       	,(2+)              	,15 FS 13                 	,1793.59   	,	,[M1]      	,0.05      	,4               	,
26 	,AL     	,13 	,13 	,5671.04   	,7       	,1+                	,30 FS LT                 	,2511.02   	,	,[M1]      	,0.011     	,>               	,
26 	,AL     	,13 	,13 	,5671.04   	,7       	,1+                	,30 FS LT                 	,1917.33   	,	,M1        	,0.051     	,>               	,
26 	,AL     	,13 	,13 	,5726.38   	,5       	,(4+)              	,5 FS LT                  	,2323.62   	,	,[M1]      	,0.029     	,>               	,
26 	,AL     	,13 	,13 	,5726.38   	,5       	,(4+)              	,5 FS LT                  	,2129.95   	,	,[M1]      	,0.011     	,>               	,
26 	,AL     	,13 	,13 	,5726.38   	,5       	,(4+)              	,5 FS LT                  	,1763.49   	,	,[M1]      	,0.049     	,>               	,
26 	,AL     	,13 	,13 	,5726.38   	,5       	,(4+)              	,5 FS LT                  	,1377.00   	,	,[M1]      	,0.014     	,>               	,
26 	,AL     	,13 	,13 	,5849.21   	,8       	,(2+)              	,10 FS 6                  	,707.52    	,	,[M1]      	,0.19      	,13              	,
26 	,AL     	,13 	,13 	,5849.21   	,8       	,(2+)              	,10 FS 6                  	,3779.44   	,	,[M1]      	,0.020     	,12              	,
26 	,AL     	,13 	,13 	,5849.21   	,8       	,(2+)              	,10 FS 6                  	,1657.23   	,	,[M1]      	,0.07      	,5               	,
26 	,AL     	,13 	,13 	,5849.21   	,8       	,(2+)              	,10 FS 6                  	,1301.25   	,	,[M1]      	,0.08      	,6               	,
26 	,AL     	,13 	,13 	,5882.65   	,9       	,(3+)              	,12 FS LT                 	,1690.67   	,	,[M1]      	,0.0065    	,>               	,
26 	,AL     	,13 	,13 	,5882.65   	,9       	,(3+)              	,12 FS LT                 	,740.96    	,	,[M1]      	,0.10      	,>               	,
26 	,AL     	,13 	,13 	,5882.65   	,9       	,(3+)              	,12 FS LT                 	,1334.69   	,	,[M1]      	,0.33      	,>               	,
26 	,AL     	,13 	,13 	,5882.65   	,9       	,(3+)              	,12 FS LT                 	,1283.45   	,	,[M1]      	,0.020     	,>               	,
26 	,AL     	,13 	,13 	,5882.65   	,9       	,(3+)              	,12 FS LT                 	,1177.25   	,	,[M1]      	,0.026     	,>               	,
