A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
38 	,K      	,19 	,19 	,3341.1    	,8       	,1+                	,38 FS LT                 	,3210.7    	,7       	,[M1]      	,0.014     	,>               	,
38 	,K      	,19 	,19 	,3429.7    	,10      	,2+                	,0.12 PS LT               	,1028.0    	,12      	,[M1]      	,8,0.10      	,
38 	,K      	,19 	,19 	,3855.8    	,19      	,1+                	,83 FS LT                 	,3725.4    	,19      	,[M1]      	,0.0051    	,>               	,
38 	,K      	,19 	,19 	,3976.3    	,12      	,1+                	,40 FS LT                 	,3848.0    	,19      	,[M1]      	,0.0071    	,>               	,
39 	,K      	,19 	,20 	,2522.75   	,25      	,1/2+              	,63 FS 6                  	,2522.4    	,3       	,M1+E2     	,0.012     	,3               	,
39 	,K      	,19 	,20 	,3938.9    	,5       	,3/2+              	,73 FS 14                 	,1416.2    	,4       	,M1+E2     	,0.0063    	,+34-22          	,
39 	,K      	,19 	,20 	,3938.9    	,5       	,3/2+              	,73 FS 14                 	,3938.3    	,10      	,M1+E2     	,0.0019    	,+24-14          	,
39 	,K      	,19 	,20 	,4095.6    	,4       	,1/2+              	,60 FS 10                 	,1572.5    	,3       	,[M1]      	,0.080     	,+18-13          	,
39 	,K      	,19 	,20 	,4514.3    	,13      	,5/2+              	,19 FS 7                  	,4514.0    	,14      	,M1+E2     	,0.006     	,+6-3            	,
39 	,K      	,19 	,20 	,4930.3    	,4       	,3/2+              	,21 FS 9                  	,2407.4    	,3       	,M1+E2     	,0.013     	,<               	,
39 	,K      	,19 	,20 	,4930.3    	,4       	,3/2+              	,21 FS 9                  	,4931.4    	,12      	,M1+E2     	,0.0025    	,+58-15          	,
39 	,K      	,19 	,20 	,7776.31   	,22      	,17/2+             	,1.0 PS 3                 	,1301.18   	,11      	,M1+E2     	,0.0025    	,+26-12          	,
39 	,CA     	,20 	,19 	,4020.7    	,17      	,1/2+              	,0.42 PS 12               	,1553.8    	,	,[M1]      	,0.011     	,+7-4            	,
40 	,CA     	,20 	,20 	,5248.79   	,5       	,2+                	,83 FS +11-9              	,1344.4    	,3       	,M1+E2     	,8E-5      	,+11-6           	,
