A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
21,NE     ,10,11,2866.6,0.2,9/2+              ,40 FS 4                  ,1120,0.3,M1+E2     ,9,5,,
21,NE     ,10,11,1745.91,0.019,7/2+              ,52 FS 4                  ,1395.131,0.017,M1+E2     ,11,4,,
21,NE     ,10,11,6174.2,1.7,(5/2)+            ,9 FS 4                   ,2438,2,M1+E2     ,24,19,,
21,NE     ,10,11,350.727,0.008,5/2+              ,7.13 PS 0.14             ,350.725,0.008,M1+E2     ,24.3,2,,
22,NE     ,10,12,5363.4,1.1,2+                ,69 FS 12                 ,4088.4,        ,M1+E2     ,0.06,0.03,,
22,NE     ,10,12,5523.3,0.6,(4)+              ,21 FS 3                  ,4247.9,1,E2        ,0.084,0.02,          ,                
22,NE     ,10,12,5641.2,0.7,3+                ,3 FS LT                  ,4366.1,1,M1+E2     ,0.36,                ,,
22,NE     ,10,12,4456.2,0.9,2+                ,3.7 FS 2.5               ,4455.7,        ,E2        ,0.7,0.5,          ,                
22,NE     ,10,12,7341.2,1.1,(4)+              ,35 FS 21                 ,3983.5,1,M1+E2     ,0.7,0.6,,
22,NE     ,10,12,4456.2,0.9,2+                ,3.7 FS 2.5               ,3181.4,        ,M1+E2     ,1,0.8,,
22,NE     ,10,12,6635.8,0.8,"(3,4)+            ",49 FS 21                 ,3278.3,        ,M1+E2     ,1.8,1,,
22,NE     ,10,12,6635.8,0.8,"(3,4)+            ",49 FS 21                 ,3278.3,        ,M1+E2     ,1.8,1,,
22,NE     ,10,12,6119.9,1.6,2+                ,14 FS 7                  ,4844.8,        ,M1+E2     ,2.7,1.4,,
22,NE     ,10,12,1274.537,0.007,2+                ,3.60 PS 0.05             ,1274.537,0.007,E2        ,12.76,0.18,          ,                
22,NE     ,10,12,6311,1,(6+)              ,49 FS 4                  ,2953.6,        ,[E2]      ,14,1.2,          ,                
22,NE     ,10,12,6345.1,1,4+                ,13 FS 3                  ,2987.7,0.9,M1+E2     ,16,7,,
22,NE     ,10,12,3357.2,0.5,4+                ,225 FS 4                 ,2082.6,0.5,E2        ,17.5,0.4,          ,                
22,NE     ,10,12,5329.6,1.3,1+                ,1.2 FS 0.3               ,4054.6,        ,M1+E2     ,31,12,,
22,NE     ,10,12,6119.9,1.6,2+                ,14 FS 7                  ,1663.6,        ,M1+E2     ,38,22,,
22,NE     ,10,12,7341.1,1.1,0+                ,3 FS LT                  ,2884.7,        ,(E2)      ,110,                ,          ,                
22,NE     ,10,12,6819.4,1.6,2+                ,3 FS LT                  ,2363.1,        ,M1+E2     ,210,                ,,
23,NE     ,10,13,1016.926,0.02,1/2+              ,178 PS 10                ,1016.9,0.02,[E2]      ,0.75,0.05,          ,                
24,NE     ,10,14,1981.6,0.4,2+                ,660 FS 150               ,1981.6,0.4,E2        ,6.8,1.6,          ,                
28,NE     ,10,18,1304,3,2+                ,5.7 PS 1                 ,1304,3,E2        ,5,0.8,          ,                
21,NA     ,11,10,1716.1,0.3,7/2+              ,37 FS 8                  ,1384.1,0.3,M1+E2     ,16,8,,
21,NA     ,11,10,1716.1,0.3,7/2+              ,37 FS 8                  ,1715.9,0.7,[E2]      ,21,8,          ,                
21,NA     ,11,10,331.9,0.1,5/2+              ,7.08 PS 0.08             ,331.91,0.1,M1+E2     ,39,3,,
21,NA     ,11,10,3544.3,0.4,5/2+              ,15.5 EV 1.4              ,3544,0.6,M1+E2     ,40,30,,
22,NA     ,11,11,583.05,0.1,1+                ,243 NS 2                 ,583.04,0.1,E2        ,0.00944,0.00008,          ,                
22,NA     ,11,11,3059.4,0.6,2+                ,23 FS 3                  ,2476.2,0.3,M1+E2     ,0.03,0.02,,
22,NA     ,11,11,5100.4,1.3,4+                ,38 FS 12                 ,4209.1,        ,M1+E2     ,0.12,                ,,
22,NA     ,11,11,1936.9,0.2,1+                ,13 FS 4                  ,1936.8,        ,[E2]      ,2.6,0.9,          ,                
22,NA     ,11,11,1528.1,0.3,5+                ,3.42 PS 0.24             ,1528.1,0.2,E2        ,5.2,0.4,          ,                
22,NA     ,11,11,3706.7,0.4,6+                ,59 FS 12                 ,2815.8,0.3,E2        ,11,3,          ,                
22,NA     ,11,11,4710,0.4,(5+)              ,37 FS 14                 ,2726,0.4,E2        ,14,6,          ,                
