Nucleus,Elevel(keV),Jpi,T1/2
11O,490,(5/2+),1.06 MeV
11O,2120,(5/2+),1.96 MeV
12O,0,0+,< 72 keV
12O,1.62E3 11,0+,1.2 MeV 7
12O,1968 52,(2+),0.48 MeV 11
14O,0,0+,70.606 s 18
14O,5920 10,0+,? 50 keV
14O,6590 10,2+,? 60 keV
14O,7768 10,2+,76 keV 10
14O,9715 20,(2+),
14O,9915 20,4+,100 keV 50
15O,5183 1,1/2+,5.7 fs 7
15O,5240.9 3,5/2+,2.25 ps 21
15O,6793.1 17,3/2+,< 20 fs
15O,6859.4 9,5/2+,11.1 fs 17
15O,7275.9 6,7/2+,0.49 ps 11
15O,7556.5 4,1/2+,0.99 keV 10
15O,8284.0 5,3/2+,3.6 keV 7
15O,8743 6,1/2+,32 keV
15O,8922 2,5/2+,3.3 keV 3
15O,8922 2,1/2+,7.5 keV
15O,9484 8,(3/2)+,? 200 keV
15O,10300,5/2+,11 keV 2
15O,10461 5,(9/2+),< 2 keV
15O,10506,(3/2)+,140 keV 40
15O,10917 12,7/2+,90 keV
15O,10938 3,1/2+,99 keV 5
15O,11218 3,3/2+,40 keV 4
15O,11748 3,5/2+,99 keV 5
15O,12129 15,5/2+,200 keV 50
15O,12255 13,5/2+,135 keV 15
15O,13450,"(1/2,3/2)+",? 1000 keV
15O,13450,"(1/2,3/2)+",? 1000 keV
15O,13490,(3/2+),
15O,13600,5/2+,
15O,14270 10,1/2+,340 keV 30
15O,14340,5/2+,240 keV
15O,14465 10,"3/2+,5/2+",100 keV 10
15O,14465 10,"3/2+,5/2+",100 keV 10
15O,15050 10,(13/2+),
15O,15100,"(1/2,3/2)+",? 1000 keV
15O,15100,"(1/2,3/2)+",? 1000 keV
15O,16430 75,1/2+,560 keV 100
15O,17050 60,"(1/2,3/2)+",700 keV 70
15O,17050 60,"(1/2,3/2)+",700 keV 70
15O,18670 60,"(1/2,3/2)+",520 keV 110
15O,18670 60,"(1/2,3/2)+",520 keV 110
15O,19570 80,"(1/2,3/2)+",780 keV 270
15O,19570 80,"(1/2,3/2)+",780 keV 270
16O,0,0+,STABLE
16O,6049.4 10,0+,67 ps 5
16O,6917.1 6,2+,4.70 fs 13
16O,9844.5 5,2+,0.62 keV 10
16O,10356 3,4+,26 keV 3
16O,11080 3,3+,< 12 keV
16O,11096.7 16,4+,0.28 keV 5
16O,11260,(0+),2500 keV
16O,11520 4,2+,71 keV 3
16O,12049 2,0+,1.5 keV 5
16O,13020 10,2+,150 keV 10
16O,13664 3,1+,64 keV 3
16O,13869 2,4+,89 keV 2
16O,14032 15,0+,185 keV 35
16O,14399 2,5+,27 keV 5
16O,14620 20,4(+),490 keV 15
16O,14815.3 16,6+,70 keV 8
16O,14926 2,2+,54 keV 5
16O,15097 5,0+,166 keV 30
16O,15260 50,2+,300 keV 100
16O,15785 5,3+,40 keV 10
16O,16209 2,1+,19 keV 3
16O,16275 7,6+,420 keV 20
16O,16352 8,(2+),61 keV 8
16O,16442.3 16,2+,25 keV 2
16O,16817 2,(3+),28 keV 3
16O,16844 21,4+,570 keV 60
16O,16930 50,2+,? 280 keV
16O,17129 5,2+,107 keV 14
16O,17140 10,1+,34 keV 3
16O,17197 17,2+,160 keV 60
16O,17555 21,(6+),180 keV 70
16O,17609 7,2+,114 keV 14
16O,17720,"(0+,2+)",? 75 keV
16O,17720,"(0+,2+)",? 75 keV
16O,17784 15,4+,400 keV 40
16O,18016 1,4+,14 keV 2
16O,18089 25,(0+),288 keV 44
16O,18202 8,2+,220 keV 50
16O,18430 15,2+,90 keV 40
16O,18600,(4+),? 300 keV
16O,18640 15,(5+),22 keV 7
16O,18785 6,4+,260 keV 20
16O,18790 10,1+,120 keV 20
16O,19080 30,2+,? 120 keV
16O,19257 9,2+,155 keV 25
16O,19319 14,(6+),65 keV 35
16O,19375 2,4+,23 keV 4
16O,19539 19,2+,255 keV 75
16O,19754 16,2+,290 keV 50
17O,0,5/2+,STABLE
17O,870.73 10,1/2+,179.2 ps 18
17O,5084.8 9,3/2+,96 keV 5
17O,5869.1 6,3/2+,6.6 keV 7
17O,6356 8,1/2+,124 keV 12
17O,6862 2,(5/2+),< 1 keV
17O,7202 10,3/2+,280 keV 30
17O,7379.2 10,5/2+,0.64 keV 23
17O,7576 2,(7/2+),< 0.1 keV
17O,7956 6,1/2+,90 keV 9
17O,8070 10,3/2+,85 keV 9
17O,8342.4 9,1/2+,11.4 keV 5
17O,8402.3 8,5/2+,6.17 keV 13
17O,8466.0 8,7/2+,2.13 keV 11
17O,8897 8,3/2+,101 keV 3
17O,9193.9 8,5/2+,3.53 keV 13
17O,9711.9 9,7/2+,23.1 keV 3
17O,9783.3 9,3/2+,11.7 keV 3
17O,9976 20,5/2+,? 80 keV
17O,10336 15,"5/2+,7/2-",150 keV
17O,10490,"5/2+,7/2-",75 keV 30
17O,10777 3,"1/2+,7/2-",74 keV 3
17O,10913 3,(5/2+),41.7 keV 14
17O,12944 5,1/2+,6 keV 2
17O,13635.3 25,(5/2)+,9 keV 5
17O,1415E+1 10,"(9/2+,11/2+)",? 100 keV
17O,1415E+1 10,"(9/2+,11/2+)",? 100 keV
17O,1510E+1 10,"(9/2+,11/2+)",? 500 keV
17O,1510E+1 10,"(9/2+,11/2+)",? 500 keV
17O,15368 3,(5/2+),40 keV 6
17O,1595E+1 15,"(9/2+,11/2+)",? 700 keV
17O,1595E+1 15,"(9/2+,11/2+)",? 700 keV
17O,16243 4,(9/2+),21 keV 10
17O,1960E+1 15,"(13/2+,15/2+)",? 250 keV
17O,1960E+1 15,"(13/2+,15/2+)",? 250 keV
18O,0,0+,STABLE
18O,1982.07 9,2+,1.94 ps 5
18O,3554.84 40,4+,17.2 ps 8
18O,3633.76 11,0+,0.96 ps 11
18O,3920.44 14,2+,18.4 fs 20
18O,5254.8 9,2+,7.0 fs 3
18O,5336.4 6,0+,139 fs 28
18O,5377.8 12,3+,< 21 fs
18O,7116.9 12,4+,< 17 fs
18O,7977 4,"(3+,4-)",
18O,8213 4,2+,1.0 keV 8
18O,8817 12,(1+),70 keV 12
18O,10295 14,4+,< 50 keV
18O,11390 20,(2+),
18O,11410 20,(4+),
18O,11690 20,6+,
18O,12040 20,(2+),
18O,12090 20,"(1-,2+)",< 50 keV
18O,12500 20,4+,
18O,12530 20,6+,
18O,1760E1 20,(8+),
18O,18871 5,1+,
18O,18927 10,"(1,2+)",
18O,19150 10,"(1-,2+,3-)",
19O,0,5/2+,26.88 s 5
19O,96.0 5,3/2+,1.39 ns 5
19O,1471.7 4,1/2+,0.88 ps 12
19O,2371.5 10,9/2+,> 2.4 ps
19O,2779.0 9,7/2+,64 fs 13
19O,3067.4 16,(3/2)+,? 0.7 ps
19O,3153.5 17,5/2+,? 0.7 ps
19O,4109.3 19,3/2+,< 15 keV
19O,4702.6 27,5/2+,< 15 keV
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5148.4 32,GE 5/2+,3.4 keV 10
19O,5540,3/2+,? 490 keV
19O,6119.6 32,3/2+,? 110 keV
20O,0,0+,13.51 s 5
20O,1673.68 15,2+,7.3 ps 3
20O,3570 7,4+,
20O,4072 4,2+,
20O,4456 5,0+,
20O,4850 15,4+,
20O,5234 5,2+,
20O,5304 6,2+,
20O,5387 6,0+,
20O,7622 7,3- & 4+,
20O,7754 5,4+,
20O,8554 8,4+,
20O,8962 21,(0+),
20O,9770 8,0+,
20O,10125 11,2+,
21O,0,(5/2+),3.42 s 10
21O,1220 3,(1/2+),
21O,3026 6,(7/2+),
21O,3073 10,(7/2+),
21O,4.77E3 10,3/2+,
21O,4927 12,(9/2+),
22O,0,0+,2.25 s 9
22O,3199 8,2+,0.40 ps 15
22O,4584 9,(3+),
22O,4909 90,(0+),
22O,6512 10,(2+),
22O,6938 11,(4+),
23O,0,1/2+,97 ms 8
23O,2.78E3 13,(5/2)+,< 5 keV
23O,4000 20,(3/2)+,
24O,0,0+,65 ms 5
24O,4.79E3 11,2+,0.05 MeV +21-5
24O,5.37E3 12,(1+),0.03 MeV +12-3
24O,?7.6E3,(+),0.1 MeV
26O,0,0+,4.5 ps +32-34
26O,1277 96,(2+),
15F,0,1/2+,660 keV 20
15F,1.52E3 5,5/2+,300 keV 13
15F,6.5E3 2,"(3/2+,5/2+)",0.4 MeV 4
15F,6.5E3 2,"(3/2+,5/2+)",0.4 MeV 4
16F,3758 6,1+,< 40 keV
16F,3870 6,2+,< 20 keV
16F,4372 6,3+,50 keV 20
16F,4654 6,1+,60 keV 20
16F,4977 8,(2+),60 keV 40
16F,5524 9,+,
17F,0,5/2+,64.49 s 16
17F,495.33 10,1/2+,286 ps 6
17F,5000 20,3/2+,1530 keV
17F,5820 20,3/2+,180 keV
17F,6560 20,1/2+,200 keV
17F,6697 7,5/2+,? 1.8 keV
17F,6774 20,(3/2+),4.5 keV
17F,7356 20,(3/2+),10 keV 2
17F,7479 20,3/2+,795 keV
17F,7750 40,(1/2+),179 keV 30
17F,8070 30,5/2(+),100 keV 20
17F,8416 20,(7/2+),45 keV 10
17F,8750 60,5/2(+),170 keV 30
17F,8760,3/2+,90 keV 20
17F,9170 60,3/2(+),140 keV 30
17F,9920,9/2+,90 keV 30
17F,10400 40,5/2(+),160 keV 40
17F,13080 4,(1/2+),2 keV 1
17F,13781 4,5/2+,12 keV 5
17F,14809 20,1/2+,190 keV 25
18F,0,1+,109.77 m 5
18F,937.20 6,3+,46.9 ps 17
18F,1041.55 8,0+,1.77 fs 31
18F,1121.36 15,5+,162 ns 7
18F,1700.81 18,1+,662 fs 19
18F,2523.35 18,2+,408 fs 17
18F,3061.84 18,2+,< 0.83 fs
18F,3358.2 10,3+,0.30 ps 2
18F,3724.19 22,1+,1.9 fs 28
18F,3839.17 22,2+,13.2 fs 19
18F,4115.90 25,3+,63 fs 15
18F,4360.15 26,1+,19 fs 7
18F,4652 2,4+,< 7 fs
18F,4753 3,0+,
18F,4963.6 8,2+,< 3 fs
18F,5297.6 15,4+,21 fs 3
18F,5603.38 27,1+,43.3 eV 16
18F,6108 3,(1+),0.034 keV 3
18F,6136.47 33,0+,< 1 keV
18F,6163.2 9,3+,14.0 keV 5
18F,6262 3,1+,0.60 keV 12
18F,6283.2 9,2+,10.0 keV 5
18F,6310.5 8,3+,0.95 keV 14
18F,6385.5 17,2+,0.49 keV 9
18F,6484.9 15,3+,0.40 keV 10
18F,6567.0 15,5+,0.56 keV 13
18F,6777 1,4+,9.2 keV 10
18F,6803.1 15,"1+,2,3+",< 2 keV
18F,6803.1 15,"1+,2,3+",< 2 keV
18F,6811,(2+),3.0 keV 5
18F,7201 2,(4+),6.5 keV
18F,7247 2,(1+),46.5 keV
18F,7406 2,1+,14.6 keV 14
18F,7685 2,"3+,4+",36 keV 4
18F,7685 2,"3+,4+",36 keV 4
18F,7941 12,(1+),112 keV
18F,8238 2,4+,20 keV
18F,9500,"2,3+",
18F,9580 20,6+,
18F,11220 30,7+,
18F,13830,"4-,5+",60 keV
18F,14020,"4-,5+",60 keV
18F,14100,"4-,5+",60 keV
18F,14180 40,(8+),
18F,14650,(7+),
18F,15090,"4-,5+",
18F,15340,"5+,6-",
18F,16070,"4-,5+",220 keV
18F,16720,"4-,5+",60 keV
18F,17430,"4-,5+,6-",70 keV
19F,0,1/2+,STABLE
19F,197.143 4,5/2+,89.3 ns 10
19F,1554.038 9,3/2+,3.5 fs 21
19F,2779.849 34,9/2+,194 fs 21
19F,3908.17 20,3/2+,6 fs 3
19F,4377.700 42,7/2+,< 7.6 fs
19F,4549.9 8,5/2+,< 35 fs
19F,4648 1,13/2+,2.6 ps 3
19F,5106.6 9,5/2+,< 21 fs
19F,5337 2,1/2(+),? 0.07 fs
19F,5463.5 15,7/2+,? 0.18 fs
19F,5500.7 17,3/2+,4 keV 1
19F,5535 2,5/2+,
19F,5938 1,1/2+,
19F,6070 1,7/2+,1.2 keV
19F,6255 1,1/2+,8 keV
19F,6282 2,5/2+,2.4 keV
19F,6330 2,7/2+,2.4 keV
19F,6496.7 14,3/2+,
19F,6500.0 9,11/2+,> 2.4 eV
19F,6527.5 14,3/2+,4 keV
19F,6554 2,7/2(+),1.6 keV
19F,6592 2,9/2+,7.6 eV 18
19F,6838.4 9,5/2+,1.2 keV
19F,7114 6,7/2+,32 keV
19F,7262 2,3/2+,< 6 keV
19F,7364 4,1/2+,
19F,7539.6 9,5/2+,0.16 keV 5
19F,7560 10,7/2+,< 90 keV
19F,7660.6 9,3/2+,2.2 eV 7
19F,7929 3,"7/2+,9/2",
19F,7937 3,11/2+,
19F,8014.0 10,5/2+,
19F,8137.7 12,1/2+,? 0.3 keV
19F,8199.0 10,(5/2+),< 0.8 keV
19F,8310.0 12,5/2+,0.047 keV 19
19F,8370 4,"7/2,5/2+",7.5 keV 15
19F,8583.5 16,5/2+,? 0.5 keV
19F,8650,1/2+,? 300 keV
19F,8793.2 15,1/2+,46 keV 2
19F,9101 4,"7/2+,9/2+",? 1 keV
19F,9101 4,"7/2+,9/2+",? 1 keV
19F,9167.0 14,1/2+,6.2 keV 5
19F,9267 4,"11/2+,9/2+",2 keV 1
19F,9267 4,"11/2+,9/2+",2 keV 1
19F,9280 5,"(7/2,9/2)+",< 1.5 keV
19F,9280 5,"(7/2,9/2)+",< 1.5 keV
19F,9318 2,3/2+,3.4 keV 7
19F,9321.0 11,1/2+,5.0 keV 2
19F,9509 4,"5/2+,7/2+",< 1 keV
19F,9509 4,"5/2+,7/2+",< 1 keV
19F,9536.4 20,5/2+,6.3 keV 15
19F,9667.5 15,3/2+,3.6 keV 4
19F,9710 4,"9/2+,11/2-",< 1 keV
19F,9887 3,1/2+,25 keV 2
19F,9926 3,9/2+,? 1 keV
19F,10162 3,1/2+,31 keV
19F,10232 3,1/2+,< 1 keV
19F,10254 3,1/2+,22 keV
19F,10308 4,3/2+,9.2 keV
19F,10411 3,13/2+,< 1.5 keV
19F,10496.3 13,3/2+,5.7 keV 6
19F,10555 3,3/2+,4.0 keV 12
19F,10581 4,(5/2+),22 keV 3
19F,10614.3 16,5/2+,4.7 keV 5
19F,10859.7 19,5/2+,240.0 keV 15
19F,10975.0 25,"(3/2,5/2)+",14 keV 2
19F,10975.0 25,"(3/2,5/2)+",14 keV 2
19F,11072.0 27,1/2+,35 keV 4
19F,11286 7,5/2+,22 keV 5
19F,11350 25,1/2+,272 keV 31
19F,11540 7,5/2+,22 keV 5
19F,11653 4,3/2+,33 keV 6
19F,12222 12,3/2+,74 keV 1
19F,12577 10,5/2+,48 keV 10
19F,12780 10,5/2+,95 keV 38
19F,12860 30,3/2+,276 keV 38
19F,12940 25,5/2+,71 keV 24
19F,13068 4,1/2+,? 10 keV
19F,13270 10,1/2+,4.5 keV
19F,13532 10,1/2+,22 keV
19F,13878 15,1/2+,101 keV
19F,14040 20,5/2+,141 keV 28
19F,14147 20,1/2+,21 keV
19F,14255 15,3/2+,51 keV
19F,14352 10,1/2+,154 keV
19F,14460 25,3/2+,179 keV
19F,14460 25,5/2+,46 keV
19F,14740 50,1/2+,361 keV 67
19F,14780 20,5/2+,
19F,15400 30,5/2+,
19F,16200 40,3/2+,
20F,0,2+,11.07 s 6
20F,656.02 3,3+,305 fs 21
20F,822.73 3,4+,55 ps 4
20F,1056.848 4,1+,5.1 fs 11
20F,1823.8 16,5+,? 45 fs
20F,2043.98 3,2+,2.7 fs 5
20F,2194.30 3,(3+),2.9 fs 8
20F,2966.11 3,3+,3.6 fs 8
20F,3171.69 14,(1+),
20F,3488.41 3,1+,8.1 fs 5
20F,3526.31 4,0+,3.8 fs 4
20F,3586.54 3,"(1,2)+",0.76 fs 4
20F,3586.54 3,"(1,2)+",0.76 fs 4
20F,3761.0 20,"(2-,3+)",
20F,3965.07 4,1+,4.8 fs 15
20F,4082.17 4,(1)+,2.5 fs 5
20F,4277.09 4,"(1,2)+",5 fs 3
20F,4277.09 4,"(1,2)+",5 fs 3
20F,4312.0 26,"(0,1)+",3.5 fs 4
20F,4312.0 26,"(0,1)+",3.5 fs 4
20F,4371.47 11,(2+),< 3 fs
20F,4509 3,"1+,(2+)",
20F,4509 3,"1+,(2+)",
20F,4731.2 29,"(3-,4,5+)",
20F,5066.8 31,"(1-,2,3+)",
20F,5130 3,"(2-,3,4+)",
20F,5465.89 17,"(1,2,3)+",
20F,5465.89 17,"(1,2,3)+",
20F,5465.89 17,"(1,2,3)+",
20F,5555.34 4,"1,2+",4.2 fs 10
20F,5764.9 34,(3)+,
20F,5810.1 4,(1+),
20F,6519 3,0+,
20F,6766.1 9,"(2-,3,4+)",? 0.6 keV
20F,7080,(1+),24 keV
20F,7166 2,2(+),8 keV 1
20F,7420 20,(2+),10 keV
20F,7655 5,(2+),65 keV
20F,805E+1 10,2+,
21F,0,5/2+,4.158 s 20
21F,279.93 6,1/2+,6.1 ns 6
21F,1730.40 6,3/2+,0.05 ps 4
21F,1754.83 8,"(7/2+,9/2+)",2.4 ps 3
21F,1754.83 8,"(7/2+,9/2+)",2.4 ps 3
21F,3459.64 9,"(3/2,5/2)+",< 0.7 ps
21F,3459.64 9,"(3/2,5/2)+",< 0.7 ps
21F,3517.67 7,"(3/2,5/2)+",< 0.7 ps
21F,3517.67 7,"(3/2,5/2)+",< 0.7 ps
21F,3638.95 12,"(3/2+,5/2+)",
21F,3638.95 12,"(3/2+,5/2+)",
21F,4172 5,"(3/2,5/2)+",
21F,4172 5,"(3/2,5/2)+",
21F,4572.38 25,"(3/2,5/2,7/2)+",
21F,4572.38 25,"(3/2,5/2,7/2)+",
21F,4572.38 25,"(3/2,5/2,7/2)+",
21F,4584.0 3,"(3/2,5/2)+",
21F,4584.0 3,"(3/2,5/2)+",
21F,5079 5,"(3/2,5/2)+",
21F,5079 5,"(3/2,5/2)+",
21F,5592 20,"(3/2,5/2)+",
21F,5592 20,"(3/2,5/2)+",
21F,6590,"(3/2+,5/2+)",
21F,6590,"(3/2+,5/2+)",
21F,8090,"(3/2+,5/2+)",
21F,8090,"(3/2+,5/2+)",
21F,8820,"(3/2+,5/2+)",
21F,8820,"(3/2+,5/2+)",
22F,0,(4+),4.23 s 4
22F,71.65 20,(3+),
22F,310 30,(2+),
22F,709.1 3,(2+),57 fs 28
22F,1413.2 9,(5+),27 fs 14
22F,1627.1 4,1+,66 fs 10
22F,1632.4 8,(3+),34 fs 21
22F,2006.6 11,(2+),55 fs 14
22F,2571.7 5,1+,53 fs 28
22F,2580 30,"4+,5+",
22F,2580 30,"4+,5+",
22F,2832.2 9,(4+),37 fs 28
22F,2881 26,(2+),
22F,2920 30,"(1+,0+)",
22F,2920 30,"(1+,0+)",
22F,3170 30,"(0+,1+)",
22F,3170 30,"(0+,1+)",
22F,3376.4 11,"(1+,2+)",44 fs 21
22F,3376.4 11,"(1+,2+)",44 fs 21
22F,3581.6 10,(5+),76 fs 21
22F,3980 50,"(2+,3+)",
22F,3980 50,"(2+,3+)",
22F,4200 40,"(4+,5+)",
22F,4200 40,"(4+,5+)",
22F,4366 30,"(3+,4+)",
22F,4366 30,"(3+,4+)",
22F,4630 30,"(2+,3+)",
22F,4630 30,"(2+,3+)",
22F,4780 40,"(2+,3+)",
22F,4780 40,"(2+,3+)",
22F,4883 30,"(2+,3+)",
22F,4883 30,"(2+,3+)",
22F,5238 30,"(0+,1+)",
22F,5238 30,"(0+,1+)",
23F,0,(5/2+),2.23 s 14
23F,2246 8,(1/2)+,
23F,3865 15,"(1/2+,3/2+)",
23F,3865 15,"(1/2+,3/2+)",
23F,4061 11,(3/2+),
23F,4610 12,"(1/2+,3/2+)",
23F,4610 12,"(1/2+,3/2+)",
23F,5547 8,"(1/2+,3/2+)",
23F,5547 8,"(1/2+,3/2+)",
23F,5593 15,"(1/2+,3/2+)",
23F,5593 15,"(1/2+,3/2+)",
24F,0,(3+),390 ms 70
24F,521.5 3,"(1+,2,3+)",
24F,521.5 3,"(1+,2,3+)",
24F,1831.3 5,1+,
25F,0,5/2+,80 ms 9
25F,3300,(9/2+),
25F,3700,(7/2+),
26F,0,1+,8.2 ms 9
26F,643.4 1,(4+),2.2 ms 1
26F,657 7,(2+),
27F,0,(5/2+),5.0 ms 2
27F,777,(1/2+),
16NE,0,0+,< 80 keV
16NE,1.77E3 3,2+,? 50 keV
16NE,6.19E3 4,2+,? 100 keV
18NE,0,0+,1672 ms 8
18NE,1887.3 2,2+,0.46 ps 4
18NE,3376.2 4,4+,3.0 ps 4
18NE,3576.3 20,0+,3 ps 1
18NE,3616.4 6,2+,44 fs +21-14
18NE,4561 9,3+,
18NE,4590 8,0+,? 20 keV
18NE,5090 8,"(2+,3-)",40 keV 20
18NE,5146 7,"(2+,3-)",25 keV 15
18NE,6297 10,(4+),? 60 keV
18NE,7059 10,"(1-,2+)",180 keV 50
18NE,7910 10,"(1-,2+)",? 50 keV
19NE,0,1/2+,17.22 s 2
19NE,238.27 11,5/2+,18.0 ns 5
19NE,1536.0 4,3/2+,19 fs 8
19NE,2794.7 6,9/2+,97 fs 24
19NE,4032.9 24,3/2+,< 35 fs
19NE,4379.1 22,7/2+,< 0.08 ps
19NE,4600 4,(5/2+),< 0.11 ps
19NE,4635 4,13/2+,> 0.7 ps
19NE,5092 6,5/2+,
19NE,5351 10,1/2+,
19NE,5424 7,(7/2+),
19NE,7616 16,3/2+,
19NE,9810 20,(11/2+),
19NE,10407 30,3/2+,45 keV
19NE,10460,1/2+,355 keV
19NE,12230 50,5/2+,200 keV 25
19NE,12400 50,7/2+,180 keV 25
19NE,12690 50,1/2+,180 keV 40
20NE,0,0+,STABLE
20NE,1633.674 15,2+,0.73 ps 4
20NE,4247.7 11,4+,64 fs 6
20NE,6725 5,0+,19.0 keV 9
20NE,7191 3,0+,3.4 keV 2
20NE,7421.9 12,2+,15.1 keV 7
20NE,7833.4 15,2+,2 keV
20NE,?8700,0+,> 800 keV
20NE,8777.6 22,6+,0.11 keV 2
20NE,90.0E+2 18,2+,? 800 keV
20NE,9031 7,4+,3 keV
20NE,9196 30,2+,
20NE,9487 5,2+,29 keV 15
20NE,9873 4,3+,
20NE,9935 12,(1+),< 24.3 fs
20NE,9990 8,4+,155 keV 30
20NE,10273.2 19,2+,? 0.3 keV
20NE,10553 5,4+,16 keV
20NE,10584 5,2+,24 keV
20NE,10694 6,"4-,3+",
20NE,10800 75,4+,350 keV
20NE,10843 4,2+,13 keV
20NE,10884 3,3+,< 21 fs
20NE,10917 6,3+,
20NE,10940 9,2+,
20NE,109.7E+2 12,0+,580 keV
20NE,11020 8,4+,24 keV
20NE,11090 3,4+,? 0.5 keV
20NE,11116 9,2+,
20NE,11262.3 19,1+,
20NE,11320 9,2+,40 keV 10
20NE,11528 6,"3+,4-",? 21 fs
20NE,11555 6,(3+),
20NE,11558 4,0+,1.1 keV 4
20NE,11653 5,(3+),
20NE,11885 7,2+,46 keV
20NE,11928 4,4+,0.44 keV 15
20NE,11951 4,8+,0.035 keV 10
20NE,12137 5,6+,
20NE,12221 4,2+,< 1 keV
20NE,12253 10,4+,155 keV 15
20NE,12327 10,2+,390 keV 50
20NE,12436 4,0+,24.4 keV 5
20NE,12472 10,(2+),124 keV 6
20NE,12585 5,6+,72 keV 9
20NE,12592 15,(2+),145 keV 25
20NE,12743 10,(2+),61 keV 12
20NE,12957 5,2+,38 keV 4
20NE,13048 5,4+,18 keV 3
20NE,13095 6,2+,162 keV 13
20NE,13105 5,6+,102 keV 5
20NE,13171.3 21,1+,2.3 keV 2
20NE,13222 10,0+,40 keV 13
20NE,13307.5 21,1+,0.9 keV 1
20NE,13341 5,4+,26 keV 3
20NE,13484 2,1+,6.4 keV 3
20NE,13529 5,2+,61 keV 8
20NE,13530 15,(0+),76 keV 32
20NE,13573 5,2+,12 keV 5
20NE,13586 3,2+,9 keV 1
20NE,13642 3,0+,17 keV 1
20NE,13736.0 25,1+,7.7 keV 5
20NE,13744 20,0+,? 80 keV
20NE,13881.0 23,2+,0.14 keV 5
20NE,13908 5,2+,74 keV 10
20NE,13926.0 23,(0+),3.5 keV 4
20NE,13928 5,6+,65 keV 3
20NE,13948 10,0+,79 keV 15
20NE,13965 5,4+,8.1 keV 10
20NE,14063.0 23,2+,? 140 keV
20NE,14115 5,2+,42 keV 6
20NE,14200,1+,14 keV 1
20NE,14270 10,4+,92 keV 9
20NE,14304 10,(6+),60 keV 13
20NE,14311 5,6+,117 keV 8
20NE,14455 3,"(0+,2+)",33 keV 3
20NE,14455 3,"(0+,2+)",33 keV 3
20NE,14475 6,0+,68 keV 2
20NE,14593 10,4+,260 keV 25
20NE,14653 10,(0+),25 keV
20NE,14699.0 33,(1+),36 keV 10
20NE,14731 10,(4+),60 keV 25
20NE,14761 5,6+,7.3 keV 48
20NE,14807 5,6+,86 keV 7
20NE,14839 10,(4+),79 keV 15
20NE,14888 10,2+,100 keV 30
20NE,15047 10,2+,66 keV 20
20NE,15142 15,(2+),? 60 keV
20NE,15159 5,6+,60 keV 15
20NE,15330 5,4+,34 keV 10
20NE,15346 15,6+,
20NE,15874 9,8+,100 keV 15
20NE,15970,(6+),
20NE,16010 25,(2+),100 keV
20NE,16329 11,4+,45 keV
20NE,16437 11,"(0,2,4)+",35 keV
20NE,16437 11,"(0,2,4)+",35 keV
20NE,16437 11,"(0,2,4)+",35 keV
20NE,16505 15,6+,24 keV 4
20NE,16667 15,4+,100 keV 25
20NE,16732.9 27,0+,2.0 keV 5
20NE,16746 25,8+,160 keV 50
20NE,16871 20,6+,350 keV 50
20NE,17072 20,4+,180 keV 30
20NE,17213 15,4+,225 keV 30
20NE,17295 15,8+,200 keV 25
20NE,17541 15,6+,86 keV 9
20NE,17550 10,(2+),19 keV
20NE,17769 20,4+,? 125 keV
20NE,17910 20,(0+),
20NE,18083 25,4+,140 keV 60
20NE,18286 10,6+,190 keV 30
20NE,18430 7,2+,9.5 keV 30
20NE,18538 7,8+,138 keV 33
20NE,18621 20,8+,185 keV 30
20NE,18745 25,6+,140 keV 50
20NE,18960 25,8+,200 keV 60
20NE,19150 20,6+,200 keV 50
20NE,19284 15,6+,140 keV 25
20NE,19443 10,6+,130 keV 15
20NE,19536 25,6+,250 keV 60
20NE,19655 20,6+,140 keV 35
20NE,19731 20,8+,330 keV 60
20NE,19845 40,6+,3.6�102 keV 12
20NE,19991 30,4+,1.3�102 keV 10
21NE,0,3/2+,STABLE
21NE,350.727 8,5/2+,7.13 ps 14
21NE,1745.910 19,7/2+,52 fs 4
21NE,2794.17 3,1/2+,5.5 fs 7
21NE,2866.6 2,9/2+,40 fs 4
21NE,3735.59 14,5/2+,< 10 fs
21NE,4433.3 7,11/2+,22 fs 3
21NE,4525.84 24,5/2+,< 7 fs
21NE,4684.53 15,3/2+,11 fs 3
21NE,5431.3 10,(7/2+),< 8 fs
21NE,5549 2,3/2+,28 fs 9
21NE,5630.7 5,7/2+,< 7 fs
21NE,5822 2,3/2+,55 fs 12
21NE,6174.2 17,(5/2)+,9 fs 4
21NE,6263 2,(7/2+),< 14 fs
21NE,6267.0 16,9/2+,24 fs 12
21NE,6271.3 7,9/2+,
21NE,6448.3 10,(13/2+),< 14 fs
21NE,7008.7 23,7/2+,< 12 fs
21NE,7022.8 13,(7/2+),13 fs 3
21NE,7043.9 11,(9/2)+,
21NE,7211.1 5,1/2+,107.8 keV 11
