A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Include,Nucleus,Jf,twoJf,ni,nf
21,Ne,10,11,350.727,0.008,5/2,7.13 PS 0.14,350.725,0.008,M1+E2,24.3,2,5,True,21Ne,3/2,3,1,1
22,Ne,10,12,5363.4,1.1,2,69 FS 12,4088.4,,M1+E2,0.06,0.03,4,True,22Ne,2,4,3,1
22,Ne,10,12,5523.3,0.6,4,21 FS 3,4247.9,1,E2,0.084,0.02,8,True,22Ne,2,4,2,1
22,Ne,10,12,5641.2,0.7,3,3 FS LT,4366.1,1,M1+E2,0.36,0.036,6,True,22Ne,2,4,1,1
22,Ne,10,12,4456.2,0.9,2,3.7 FS 2.5,4455.7,,E2,0.7,0.5,4,True,22Ne,0,0,2,1
22,Ne,10,12,7341.2,1.1,4,35 FS 21,3983.5,1,M1+E2,0.7,0.6,8,True,22Ne,4,8,4,1
22,Ne,10,12,4456.2,0.9,2,3.7 FS 2.5,3181.4,,M1+E2,1.0,0.8,4,True,22Ne,2,4,2,1
22,Ne,10,12,6119.9,1.6,2,14 FS 7,4844.8,,M1+E2,2.7,1.4,4,True,22Ne,2,4,4,1
22,Ne,10,12,1274.537,0.007,2,3.60 PS 0.05,1274.537,0.007,E2,12.76,0.18,4,True,22Ne,0,0,1,1
22,Ne,10,12,6311.0,1.0,6,49 FS 4,2953.6,,[E2],14.0,1.2,12,True,22Ne,4,8,1,1
22,Ne,10,12,6345.1,1.0,4,13 FS 3,2987.7,0.9,M1+E2,16.0,7,8,True,22Ne,4,8,3,1
22,Ne,10,12,3357.2,0.5,4,225 FS 4,2082.6,0.5,E2,17.5,0.4,8,True,22Ne,2,4,1,1
22,Ne,10,12,5329.6,1.3,1,1.2 FS 0.3,4054.6,,M1+E2,31.0,12,2,True,22Ne,2,4,1,1
22,Ne,10,12,6119.9,1.6,2,14 FS 7,1663.6,,M1+E2,38.0,22,4,True,22Ne,2,4,4,2
22,Ne,10,12,7341.1,1.1,0,3 FS LT,2884.7,,(E2),110.0,11.0,0,True,22Ne,2,4,4,2
